cancer_type,normalization,batch_num,status,start_time,end_time,duration_seconds,error_message
COAD,raw,1,success,2026-01-21T18:39:29.168376,2026-01-21T18:39:44.665267,15.496891,
COAD,raw,2,success,2026-01-21T18:39:44.665981,2026-01-21T18:40:00.184555,15.518574,
COAD,raw,3,success,2026-01-21T18:40:00.185336,2026-01-21T18:40:17.118675,16.933339,
COAD,raw,4,success,2026-01-21T18:40:17.119360,2026-01-21T18:40:34.120204,17.000844,
COAD,raw,5,success,2026-01-21T18:40:34.120906,2026-01-21T18:40:49.278234,15.157328,
COAD,raw,6,success,2026-01-21T18:40:49.278917,2026-01-21T18:41:04.085325,14.806408,
COAD,raw,7,success,2026-01-21T18:41:04.086118,2026-01-21T18:41:19.008986,14.922868,
COAD,raw,8,success,2026-01-21T18:41:19.009681,2026-01-21T18:41:33.861385,14.851704,
COAD,raw,9,success,2026-01-21T18:41:33.862103,2026-01-21T18:41:48.911980,15.049877,
COAD,raw,10,success,2026-01-21T18:41:48.912705,2026-01-21T18:42:04.080781,15.168076,
COAD,raw,11,success,2026-01-21T18:42:04.081454,2026-01-21T18:42:19.202273,15.120819,
COAD,raw,12,success,2026-01-21T18:42:19.203084,2026-01-21T18:42:34.364169,15.161085,
COAD,raw,13,success,2026-01-21T18:42:34.364848,2026-01-21T18:42:49.533196,15.168348,
COAD,raw,14,success,2026-01-21T18:42:49.533893,2026-01-21T18:43:04.799249,15.265356,
COAD,raw,15,success,2026-01-21T18:43:04.799943,2026-01-21T18:43:19.902910,15.102967,
COAD,raw,16,success,2026-01-21T18:43:19.903587,2026-01-21T18:43:35.583499,15.679912,
COAD,raw,17,success,2026-01-21T18:43:35.584200,2026-01-21T18:43:50.738621,15.154421,
COAD,raw,18,success,2026-01-21T18:43:50.739340,2026-01-21T18:44:06.107713,15.368373,
COAD,raw,19,success,2026-01-21T18:44:06.108409,2026-01-21T18:44:20.834283,14.725874,
COAD,raw,20,success,2026-01-21T18:44:20.834975,2026-01-21T18:44:35.555993,14.721018,
COAD,TC,1,success,2026-01-21T18:44:35.556712,2026-01-21T18:44:50.562684,15.005972,
COAD,TC,2,success,2026-01-21T18:44:50.563629,2026-01-21T18:45:05.349601,14.785972,
COAD,TC,3,success,2026-01-21T18:45:05.350306,2026-01-21T18:45:20.221098,14.870792,
COAD,TC,4,success,2026-01-21T18:45:20.221847,2026-01-21T18:45:35.019190,14.797343,
COAD,TC,5,success,2026-01-21T18:45:35.019878,2026-01-21T18:45:49.926112,14.906234,
COAD,TC,6,success,2026-01-21T18:45:49.926808,2026-01-21T18:46:04.746207,14.819399,
COAD,TC,7,success,2026-01-21T18:46:04.746946,2026-01-21T18:46:08.184185,3.437239,
COAD,TC,8,success,2026-01-21T18:46:08.185148,2026-01-21T18:46:23.108276,14.923128,
COAD,TC,9,success,2026-01-21T18:46:23.109009,2026-01-21T18:46:26.536537,3.427528,
COAD,TC,10,success,2026-01-21T18:46:26.537278,2026-01-21T18:46:29.834341,3.297063,
COAD,TC,11,success,2026-01-21T18:46:29.835044,2026-01-21T18:46:43.764795,13.929751,
COAD,TC,12,success,2026-01-21T18:46:43.765583,2026-01-21T18:46:57.725945,13.960362,
COAD,TC,13,success,2026-01-21T18:46:57.726681,2026-01-21T18:47:11.713846,13.987165,
COAD,TC,14,success,2026-01-21T18:47:11.714528,2026-01-21T18:47:26.209887,14.495359,
COAD,TC,15,success,2026-01-21T18:47:26.210608,2026-01-21T18:47:41.378881,15.168273,
COAD,TC,16,success,2026-01-21T18:47:41.379620,2026-01-21T18:47:56.520837,15.141217,
COAD,TC,17,success,2026-01-21T18:47:56.521541,2026-01-21T18:48:00.190901,3.66936,
COAD,TC,18,success,2026-01-21T18:48:00.191608,2026-01-21T18:48:15.946941,15.755333,
COAD,TC,19,success,2026-01-21T18:48:15.947697,2026-01-21T18:48:19.597032,3.649335,
COAD,TC,20,success,2026-01-21T18:48:19.597744,2026-01-21T18:48:23.168459,3.570715,
COAD,DESeq,1,success,2026-01-21T18:48:23.169236,2026-01-21T18:48:38.688394,15.519158,
COAD,DESeq,2,success,2026-01-21T18:48:38.689160,2026-01-21T18:48:53.290098,14.600938,
COAD,DESeq,3,success,2026-01-21T18:48:53.290827,2026-01-21T18:49:07.915591,14.624764,
COAD,DESeq,4,success,2026-01-21T18:49:07.916317,2026-01-21T18:49:22.471255,14.554938,
COAD,DESeq,5,success,2026-01-21T18:49:22.471948,2026-01-21T18:49:25.927190,3.455242,
COAD,DESeq,6,success,2026-01-21T18:49:25.927932,2026-01-21T18:49:40.982151,15.054219,
COAD,DESeq,7,success,2026-01-21T18:49:40.982874,2026-01-21T18:49:55.103442,14.120568,
COAD,DESeq,8,success,2026-01-21T18:49:55.104153,2026-01-21T18:50:09.063031,13.958878,
COAD,DESeq,9,success,2026-01-21T18:50:09.063944,2026-01-21T18:50:24.403431,15.339487,
COAD,DESeq,10,success,2026-01-21T18:50:24.404324,2026-01-21T18:50:38.276509,13.872185,
COAD,DESeq,11,success,2026-01-21T18:50:38.277281,2026-01-21T18:50:52.185123,13.907842,
COAD,DESeq,12,success,2026-01-21T18:50:52.185871,2026-01-21T18:51:08.720877,16.535006,
COAD,DESeq,13,success,2026-01-21T18:51:08.721739,2026-01-21T18:51:24.218349,15.49661,
COAD,DESeq,14,success,2026-01-21T18:51:24.219190,2026-01-21T18:51:38.825280,14.60609,
COAD,DESeq,15,success,2026-01-21T18:51:38.826045,2026-01-21T18:51:53.149916,14.323871,
COAD,DESeq,16,success,2026-01-21T18:51:53.150768,2026-01-21T18:52:08.095185,14.944417,
COAD,DESeq,17,success,2026-01-21T18:52:08.095946,2026-01-21T18:52:23.065071,14.969125,
COAD,DESeq,18,success,2026-01-21T18:52:23.068004,2026-01-21T18:52:39.053760,15.985756,
COAD,DESeq,19,success,2026-01-21T18:52:39.054558,2026-01-21T18:52:54.059595,15.005037,
COAD,DESeq,20,success,2026-01-21T18:52:54.060359,2026-01-21T18:53:08.612386,14.552027,
LAML,raw,1,success,2026-01-21T18:53:08.613141,2026-01-21T18:53:11.925208,3.312067,
LAML,raw,2,success,2026-01-21T18:53:11.926058,2026-01-21T18:53:15.339807,3.413749,
LAML,raw,3,success,2026-01-21T18:53:15.340627,2026-01-21T18:53:18.624713,3.284086,
LAML,raw,4,success,2026-01-21T18:53:18.625559,2026-01-21T18:53:22.014986,3.389427,
LAML,raw,5,success,2026-01-21T18:53:22.015831,2026-01-21T18:53:25.410353,3.394522,
LAML,raw,6,success,2026-01-21T18:53:25.411123,2026-01-21T18:53:28.775447,3.364324,
LAML,raw,7,success,2026-01-21T18:53:28.776250,2026-01-21T18:53:32.709261,3.933011,
LAML,raw,8,success,2026-01-21T18:53:32.710161,2026-01-21T18:53:36.614485,3.904324,
LAML,raw,9,success,2026-01-21T18:53:36.615319,2026-01-21T18:53:41.113657,4.498338,
LAML,raw,10,success,2026-01-21T18:53:41.114527,2026-01-21T18:53:45.100075,3.985548,
LAML,raw,11,success,2026-01-21T18:53:45.100920,2026-01-21T18:53:49.026097,3.925177,
LAML,raw,12,success,2026-01-21T18:53:49.027057,2026-01-21T18:53:53.934830,4.907773,
LAML,raw,13,success,2026-01-21T18:53:53.936025,2026-01-21T18:53:58.375051,4.439026,
LAML,raw,14,success,2026-01-21T18:53:58.376080,2026-01-21T18:54:03.009841,4.633761,
LAML,raw,15,success,2026-01-21T18:54:03.010917,2026-01-21T18:54:07.210653,4.199736,
LAML,raw,16,success,2026-01-21T18:54:07.211548,2026-01-21T18:54:10.920955,3.709407,
LAML,raw,17,success,2026-01-21T18:54:10.921757,2026-01-21T18:54:14.730915,3.809158,
LAML,raw,18,success,2026-01-21T18:54:14.731884,2026-01-21T18:54:18.431308,3.699424,
LAML,raw,19,success,2026-01-21T18:54:18.432156,2026-01-21T18:54:22.173457,3.741301,
LAML,raw,20,success,2026-01-21T18:54:22.174346,2026-01-21T18:54:25.723167,3.548821,
LAML,TC,1,success,2026-01-21T18:54:25.723999,2026-01-21T18:54:29.392377,3.668378,
LAML,TC,2,success,2026-01-21T18:54:29.393206,2026-01-21T18:54:33.049402,3.656196,
LAML,TC,3,success,2026-01-21T18:54:33.050262,2026-01-21T18:54:36.771144,3.720882,
LAML,TC,4,success,2026-01-21T18:54:36.772002,2026-01-21T18:54:40.559379,3.787377,
LAML,TC,5,success,2026-01-21T18:54:40.560231,2026-01-21T18:54:44.172122,3.611891,
LAML,TC,6,success,2026-01-21T18:54:44.172973,2026-01-21T18:54:47.744064,3.571091,
LAML,TC,7,success,2026-01-21T18:54:47.744868,2026-01-21T18:54:51.442030,3.697162,
LAML,TC,8,success,2026-01-21T18:54:51.442885,2026-01-21T18:54:55.096824,3.653939,
LAML,TC,9,success,2026-01-21T18:54:55.097672,2026-01-21T18:54:58.733661,3.635989,
LAML,TC,10,success,2026-01-21T18:54:58.734481,2026-01-21T18:55:02.297761,3.56328,
LAML,TC,11,success,2026-01-21T18:55:02.298601,2026-01-21T18:55:05.970219,3.671618,
LAML,TC,12,success,2026-01-21T18:55:05.971069,2026-01-21T18:55:09.547822,3.576753,
LAML,TC,13,success,2026-01-21T18:55:09.548639,2026-01-21T18:55:13.144471,3.595832,
LAML,TC,14,success,2026-01-21T18:55:13.145316,2026-01-21T18:55:16.739737,3.594421,
LAML,TC,15,success,2026-01-21T18:55:16.740568,2026-01-21T18:55:20.392334,3.651766,
LAML,TC,16,success,2026-01-21T18:55:20.393198,2026-01-21T18:55:24.016480,3.623282,
LAML,TC,17,success,2026-01-21T18:55:24.017352,2026-01-21T18:55:27.642600,3.625248,
LAML,TC,18,success,2026-01-21T18:55:27.643401,2026-01-21T18:55:31.194956,3.551555,
